RowNumber,AadId,FullName,JobTitle,StandardTitle,CareerStageName,JobTitleName,JobType,ReportingVP,FirstRegularHireDate,MostRecentHireDate
0,fc4d01cc-cd1f-9120-a00a-d845702f1fad,Christina Palmer,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC6,IC6,Software Engineering,IndividualContributor,VP1,1993-09-13,2023-06-19
1,77551728-ac19-4bb2-91dc-6bc9dfc8af7a,Julie Cervantes,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP2,1993-12-02,2023-06-26
2,a5ca47c5-befa-09ed-fa99-ff640eb652a6,Jonathan Juarez,"PARTNER, STRATEGIC M&TECH, AI",Software Engineering IC7,IC7,Software Engineering,IndividualContributor,VP3,1997-07-21,2023-08-07
3,0794df37-1322-95a0-e7f9-29835f5f37d5,Laura Silva,"CTO / DE, DATABASES",Software Engineering M8,M8,Software Engineering,PeopleManager,VP1,1997-07-28,2023-09-05
4,8e04c416-5e1a-68a2-7912-1afd4a02e2cc,Keith Lara,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,1999-01-25,2023-05-08
5,56e3855b-77cd-f7bf-ed33-d501ca61c33e,Keith Kelley,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,1999-06-30,2023-05-08
6,ccb7741a-604b-2429-1a0e-145d8a8c89b4,Joseph Pacheco,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC6,IC6,Software Engineering,IndividualContributor,VP1,2004-11-01,2023-09-11
7,cf8758b0-eef9-5078-6cbf-72d49a1c8c07,Summer Brennan,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2005-01-01,2023-09-18
8,9e9cea1a-ebd3-f78e-0c2e-bf2e48817dee,Mary Pierce,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP4,2006-01-16,2023-06-26
9,1aa2dba1-633f-173f-9289-b033cea0007e,Kyle Daniels,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP4,2006-01-23,2023-05-30
10,3486777d-f7d8-17e1-3940-eb3db8609f39,Austin Shelton,PRIN SOFTWARE ENG MANAGER,Software Engineering M5,M5,Software Engineering,PeopleManager,VP5,2006-02-13,2023-05-08
11,5e7c0e98-85ac-d379-fa4f-6fa37e06658f,Joshua Mack,PRINCIPAL SOFTWARE ENG LEAD,Software Engineering M5,M5,Software Engineering,PeopleManager,VP2,2006-03-27,2023-09-18
12,d608fd44-8d79-f528-67f2-5848659936a0,Kyle Butler,PRINCIPAL SOFTWARE ENGINEERING,Software Engineering M5,M5,Software Engineering,PeopleManager,VP5,2006-06-26,2023-07-10
13,254a2d6b-33d7-879e-779d-2683e770ed01,Deborah Smith,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2006-10-02,2023-08-14
14,9e72dad9-63c1-54cd-27bc-c313d8ce5114,Katelyn Mathews,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC6,IC6,Software Engineering,IndividualContributor,VP1,2007-04-02,2023-05-01
15,293cad55-4185-ed8d-86ea-2ba3be7033e3,Hayley Lopez,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2007-07-09,2023-04-24
16,27806f72-6167-49fe-8d4a-d6b94ccfd27b,Dennis Porter,SENIOR SERVICE ENGINEER,Service Engineering IC4,IC4,Service Engineering,IndividualContributor,VP1,2008-01-04,2023-07-17
17,6bdaa858-82f4-8350-1e83-9351e1a4b868,Christopher Parker,PARTNER ARCHITECT,Software Engineering IC7,IC7,Software Engineering,IndividualContributor,VP6,2008-01-10,2023-09-25
18,b8b92857-f0b8-480d-d189-72d1728d24c8,Diana Miller,PRINCIPAL GROUP ENGINEERING MA,Software Engineering M6,M6,Software Engineering,PeopleManager,VP2,2008-01-14,2023-06-19
19,6eb74c21-e165-0671-2f09-621aed832076,Christina Rivera,PRINCIPAL SOFTWARE ENG. MGR.,Software Engineering M5,M5,Software Engineering,PeopleManager,VP6,2008-05-12,2023-08-14
20,9897b720-bd91-ebd7-0294-8e3652e6f7af,Marcus Alvarez,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2008-06-12,2023-08-07
21,cddc6394-86a3-d38d-341b-5945f0307272,Lisa Keith,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2008-08-04,2023-07-10
22,0e0b8224-10c4-ca56-a271-4d88043a8341,Tara Bullock,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP6,2008-08-25,2023-09-18
23,caf1ba13-409b-2d6a-d690-73018ef2de5e,Alyssa Dillon,PARTNER ARCHITECT.,Software Engineering IC7,M7,Software Engineering,PeopleManager,VP1,2008-09-29,2023-05-30
